"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2008273640530604521","Mon Jan 05 20:25:22 +0000 2026","0","Sejatinya sepakbola adalah alat perjuangan dan tribun adalah penggeraknya panjang umur perlawanan ULTRAS PERSIJA MENOLAK DIAM!!! #menolaktolol","2008273640530604521","","","in","","0","0","0","https://x.com/undefined/status/2008273640530604521","1077796251045834752",
"2008183234593800310","Mon Jan 05 20:11:55 +0000 2026","0","@ainurohman Liga Mortal kombat Yang rasanya sampai saat ini masih berlaku untuk Kompetisi sepakbola di INDON","2008270254326378894","","ainurohman","in","","0","0","0","https://x.com/undefined/status/2008270254326378894","118266819",
"2008269071691985185","Mon Jan 05 20:07:13 +0000 2026","1","Kalau ada debat yang nggak pernah benar-benar selesai di dunia sepakbola CR7 vs R9 adalah salah satunya. Bukan cuma soal siapa lebih hebat ini soal dua tipe monster dari spesies berbeda. #CR7vsR9 #DebatGOAT #LegendaSepakbola #OnesportsID https://t.co/YbHItW4rUe","2008269071691985185","https://pbs.twimg.com/media/G97N5Y5bcAA0uaf.jpg","","in","","0","0","0","https://x.com/undefined/status/2008269071691985185","1181477471427809281",
"2008268760948539499","Mon Jan 05 20:05:59 +0000 2026","0","Lewandowski Nggak Takut Pensiun https://t.co/GVu5kTfaYg","2008268760948539499","","","in","","0","0","0","https://x.com/undefined/status/2008268760948539499","135783107",
"2008111910806540725","Mon Jan 05 20:01:53 +0000 2026","0","@ekkymonye @GIBOLofficial ini kalo sampe ga dibanned 1 klub seumur hidup dari aktifitas sepakbola mending federasinya suruh bubar aja lah itu yang nendang bikin cacat aja lah main bola apa mau bunuh orang lu cokkk","2008267730416537969","","ekkymonye","in","","0","0","0","https://x.com/undefined/status/2008267730416537969","1891158623453392896",
"2008262213895967143","Mon Jan 05 19:41:09 +0000 2026","0","@grok bikin foto itu memakai jersey Ac Milan 2025/2026 dengan latar belakang lapangan sepakbola dan penonton","2008262513918705773","","pidos1010","in","","0","1","0","https://x.com/undefined/status/2008262513918705773","97209181",
"2008253649370415447","Mon Jan 05 19:05:56 +0000 2026","2","Eks Asisten Sir Alex: MU Butuh Manajer dengan Riwayat Mentereng https://t.co/hKdgEtNqgw","2008253649370415447","","","in","","0","0","0","https://x.com/undefined/status/2008253649370415447","135783107",
"2008252434448355465","Mon Jan 05 19:01:06 +0000 2026","0","DNA DNA tai anjing. Sepakbola berkembang. Kalau mau ya ikuti ora terus sok-sokan bahas masa lalu. Ternyata di luar negeri tetep ada bapak-bapak sok asik.","2008252434448355465","","","in","","0","0","0","https://x.com/undefined/status/2008252434448355465","1010764484",
"2008084524455112708","Mon Jan 05 18:30:57 +0000 2026","0","@AlionelMessi_ Nah disadari atau tidak sebenarnya mental pemain spt ini yg bikin sepakbola Indonesia ngga bisa maju dan berkembang termasuk oknum pelatih manajemen klub pengurus PSSI dan supporter serta ekosistem sepakbola yg buruk tidak tegak aturan &amp; tanpa sangsi. Fanatisme semu.","2008244847082435032","","AlionelMessi_","in","","0","0","0","https://x.com/undefined/status/2008244847082435032","1895672353608302592",
"2008117988449464690","Mon Jan 05 18:26:26 +0000 2026","0","@txtdrkeylie Direksi ga mau melihara manager maunya head coach saja Orgil mana yg rela lepasin tanggung jawab prestasi klub sepak bola ke orang yang bahkan bukan dari bekgron sepakbola. Amorim muak sama kebijakan transfer januari ini terus sepik up di presscon kemarin aaand here we are","2008243710312804359","","txtdrkeylie","in","","0","0","0","https://x.com/undefined/status/2008243710312804359","1425137397805719552",
"2008108733302440318","Mon Jan 05 18:17:16 +0000 2026","0","@ainurohman Saatnya rakyat Indonesia pindah dr olahraga sepakbola ini ke alternatif lainnya yg ga pake kontak badan seperti olahraga raket tenis atau padel. Capek gini2 terus terjadi dan ga ada perubahan.","2008241404443849062","","ainurohman","in","","0","0","0","https://x.com/undefined/status/2008241404443849062","955627140",
"2008238509732311198","Mon Jan 05 18:05:46 +0000 2026","0","Persija Mulai Persiapan Lawan Persib 3 Pemain Absen https://t.co/ylrykzjVXI","2008238509732311198","","","in","","0","0","0","https://x.com/undefined/status/2008238509732311198","135783107",
"2008148523704054099","Mon Jan 05 17:59:09 +0000 2026","0","@SiaranBolaLive @PSSI @erickthohir Banned seumur hidup dr sepakbola otaknye di dengkul","2008236844484616244","","SiaranBolaLive","in","","0","0","0","https://x.com/undefined/status/2008236844484616244","262167129",
"2008051946641564094","Mon Jan 05 17:57:34 +0000 2026","0","@AnggaPutraF Kalo saya lebih mendukung dana kampanye diatur seperti sepakbola di eropa yang kita kenal dengan istilah FFP. Misal : Dana Kampanye per partai maksimal 50% dari rata-rata saldo keuangan partai selama 4 tahun terakhir","2008236445925077496","","AnggaPutraF","in","","0","0","0","https://x.com/undefined/status/2008236445925077496","1246388739456172032",
"2007944816274055358","Mon Jan 05 17:55:07 +0000 2026","5","@heruanggaSS Gak. Mainset lu udah bener. Klub yang lu dukung sialnya didukung juga sama manusia manusia super pinter sepakbola sedunia akherat dan orang jenius pencari cuan di sosmed. Bikin kita jadi keliatan kek fans polos naif dan tolol. Klub brengsek emang..","2008235828158624016","","heruanggaSS","in","","0","0","0","https://x.com/undefined/status/2008235828158624016","48224053",
"2008118769508651280","Mon Jan 05 17:52:34 +0000 2026","0","@yudhstraaa @IDGoonerscom Arsenal sekarang yg ngurusin si Josh anaknya. Anaknya lebih passionate dibanding bapaknya ke sepakbola. Kalo bapaknya sekedar pengusaha USA kaya duit2 profit Arsenal larinya ke LA Rams. Makanya Arsenal strugle di bursa transfer selama era bapaknya","2008235187923210497","","yudhstraaa","in","","0","0","0","https://x.com/undefined/status/2008235187923210497","1297488561524969472",
